Point,ID,Year,GMU,BMU,Rotation,yrs_cut2015,yrs_cut2016,VegHgt_Avg,VegHgt_Stdv,LD_Avg,LD_Stdv,Avg_Canopy,GCVR_Forb,GCVR_ShrubTree,Shrub_stm_total,Tree_stm_total
32-1,38,2016,1,0,1,NA,1,74.0,24.3,3.4,1.2,0,0.7,0.25,204,0
34-1,39,2016,1,0,1,NA,1,121.9,20.6,5.9,2.0,0,0.65,0.15,196,0
35-1,40,2016,1,0,1,NA,1,56.6,14.4,1.3,1.4,0,0.8,0.1,175,209
36-1,41,2016,1,0,1,NA,1,118.9,32.4,3.3,1.9,0,0.2,0.15,171,0
68-1,42,2016,0,1,NA,NA,5,129.5,55.3,1.0,1.1,54,0.4,0.45,592,59
44-1,43,2016,0,1,NA,NA,5,79.2,21.1,1.8,0.9,1,0.5,0.6,520,4
43-1,44,2016,0,1,NA,NA,8,164.5,96.0,0.5,0.7,54,0.2,0.4,835,73
41-1,45,2016,0,1,NA,NA,8,52.1,15.0,1.6,0.4,1,0.5,0.3,144,27
42b-1,46,2016,0,1,NA,NA,8,176.3,65.2,2.4,0.9,58,0.3,0.55,249,17
42a-1,47,2016,0,1,NA,NA,3,150.4,85.7,1.8,1.8,32,0.4,0.5,603,65
72-1,48,2016,0,1,NA,NA,NA,113.0,84.8,1.2,0.8,3,0.4,0.45,188,31
73-1,49,2016,0,1,NA,NA,NA,101.5,81.3,1.5,0.8,22,0.25,0.45,478,28
48-1,50,2016,0,1,NA,NA,9,199.7,41.8,2.5,0.4,28,0.15,0.6,463,42
65-1,51,2016,0,1,NA,NA,9,142.1,82.0,1.9,1.3,29,0.1,0.7,548,63
71-1,52,2016,0,1,NA,NA,2,154.1,64.6,2.5,1.2,75,0.1,0.4,600,13
70-1,53,2016,0,1,NA,NA,2,168.7,97.4,1.0,1.0,72,0.3,0.45,468,50
55-1,54,2016,0,1,NA,NA,3,140.3,67.5,2.5,0.9,32,0.3,0.55,209,723
51-1,55,2016,0,1,NA,NA,7,72.7,27.0,0.0,0.0,0,0.8,0.15,98,18
49-1,57,2016,0,1,NA,NA,7,177.4,77.4,2.0,0.6,25,0.3,0.6,229,71
49-2,58,2016,0,1,NA,NA,7,115.2,52.3,2.4,0.5,20,0.2,0.8,320,39
59-2,59,2016,0,1,NA,NA,6,221.5,212.1,4.5,2.7,82,0.2,0.55,529,66
59-1,60,2016,0,1,NA,NA,6,183.7,56.7,2.3,1.5,49,0,0.85,724,70
60-1,61,2016,0,1,NA,NA,1,72.2,47.6,2.9,1.8,13,0.3,0.35,500,60
61-1,62,2016,0,1,NA,NA,3,141.2,47.0,2.7,1.4,19,0.1,0.9,957,72
66b-1,63,2016,0,1,NA,NA,NA,199.4,24.3,2.1,1.5,64,0.1,0.85,443,3
66a-1,64,2016,0,1,NA,NA,NA,176.0,62.1,3.3,1.9,84,0.2,0.6,613,87
66a-2,65,2016,0,1,NA,NA,NA,120.0,54.1,1.9,1.5,72,0.35,0.1,266,70
50a-1,66,2016,0,1,NA,NA,6,190.7,82.7,2.6,1.2,74,0.3,0.5,307,228
74-1,68,2016,0,1,NA,NA,NA,157.3,83.1,0.5,1.2,38,0.1,0.55,715,170
74-2,69,2016,0,1,NA,NA,NA,148.5,69.4,0.3,0.6,15,0.15,0.8,683,113
64b-1,70,2016,0,1,NA,NA,6,147.2,89.4,2.4,2.6,31,0.2,0.5,882,120
64a-1,71,2016,0,1,NA,NA,NA,249.0,195.8,2.7,2.4,77,0,0.75,408,122
63-1,72,2016,0,1,NA,NA,NA,207.6,191.1,4.5,1.7,84,0.35,0.3,281,81
62ab-1,73,2016,0,1,NA,NA,3,150.1,77.8,0.9,1.2,69,0.25,0.45,690,17
47e-1,74,2016,0,1,NA,NA,1,89.0,66.1,0.4,0.6,43,0.25,0.35,566,96
47d-1,75,2016,0,1,NA,NA,9,219.8,146.6,1.7,0.9,71,0.1,0.55,445,117
47c-1,76,2016,0,1,NA,NA,7,118.2,82.1,0.8,1.4,16,0.05,0.6,1525,216
47a-1,77,2016,0,1,NA,NA,3,74.0,89.6,1.8,1.0,89,0.1,0.4,382,118
52-1,78,2016,0,1,NA,NA,7,139.1,83.8,1.0,1.4,38,0.3,0.45,350,91
52-2,79,2016,0,1,NA,NA,7,142.8,77.9,1.2,0.9,47,0.3,0.45,495,66
1-1,1,2015,1,0,4,3,NA,79.1,25.1,3.3,2.3,0,0.4,0.3,261,77
2a-1,2,2015,1,0,1,1,NA,60.0,11.7,2.3,2.1,0,0.7,0.05,541,143
2b-1,3,2015,1,0,2,2,NA,106.5,26.6,5.9,4.0,0,0.45,0.2,128,0
2c-1,4,2015,1,0,2,2,NA,79.5,20.5,3.9,3.3,0,0.4,0.4,1033,266
2d-1,5,2015,1,0,2,2,NA,65.8,36.3,3.9,1.9,0,0.35,0.45,258,69
3-1,6,2015,1,0,2,1,NA,74.5,30.7,2.3,0.8,0,0.7,0.3,960,15
3-2,7,2015,1,0,2,1,NA,89.4,19.4,3.2,1.1,0,0.5,0.4,770,24
4-1,8,2015,1,0,1,1,NA,55.1,17.9,4.3,1.7,0,0.65,0.35,626,90
5-1,9,2015,1,0,2,2,NA,84.9,19.7,1.7,1.7,0,0.4,0.45,805,306
6-1,10,2015,1,0,2,1,NA,70.5,15.1,3.0,1.5,0,0.55,0.35,1159,138
6-2,11,2015,1,0,2,1,NA,67.3,17.0,4.0,3.0,0,0.45,0.3,865,370
6-3,12,2015,1,0,2,1,NA,91.3,26.5,2.4,3.0,0,0.3,0.55,1610,40
7-1,13,2015,1,0,2,2,NA,42.7,9.7,5.0,2.4,0,0.25,0.3,570,478
8-1,14,2015,1,0,4,2,NA,73.5,13.8,2.1,3.8,0,0.3,0.6,1077,256
8-2,15,2015,1,0,4,2,NA,73.1,14.1,5.8,2.6,0,0.55,0.2,566,40
8-3,16,2015,1,0,4,2,NA,51.2,11.7,4.1,2.9,0,0.55,0.3,629,31
9-1,17,2015,1,0,2,1,NA,63.1,25.1,3.9,3.4,0,0.35,0.25,1114,494
10-1,18,2015,1,0,4,1,NA,64.8,12.6,3.2,1.5,0,0.55,0.45,1500,6
11-1,19,2015,1,0,4,2,NA,82.3,31.7,4.3,2.9,0,0.4,0.15,337,2
11-2,20,2015,1,0,4,2,NA,70.3,22.8,2.1,1.9,0,0.4,0.3,238,40
11-3,21,2015,1,0,4,2,NA,55.5,10.1,4.0,2.1,0,0.7,0.2,365,153
12-1,22,2015,1,0,4,1,NA,50.6,9.3,4.7,2.5,0,0.3,0.45,1281,204
12-2,23,2015,1,0,4,1,NA,55.2,31.3,4.9,1.8,0,0.4,0.25,1647,227
13-1,24,2015,1,0,4,1,NA,51.9,14.4,3.3,2.7,0,0.65,0.1,379,23
14-1,25,2015,1,0,2,2,NA,63.2,16.7,3.3,1.1,0,0.35,0.45,2105,22
15-1,26,2015,1,0,4,1,NA,102.0,39.2,4.3,8.3,20,0.15,0.2,119,7
16-1,27,2015,1,0,1,1,NA,57.6,13.2,3.6,2.4,0,0.6,0.05,70,11
16-2,28,2015,1,0,1,1,NA,108.1,24.5,4.6,2.4,0,0.8,0.05,97,85
22-1,29,2015,1,0,4,1,NA,81.9,34.0,1.1,0.6,0,0.65,0.3,422,159
23-1,30,2015,1,0,2,2,NA,113.0,19.9,3.2,1.6,0,0.55,0.4,356,77
23-2,31,2015,1,0,2,2,NA,61.3,15.1,3.5,2.6,0,0.45,0.3,266,43
24-1,32,2015,1,0,2,1,NA,50.5,16.2,3.0,1.5,0,0.45,0.15,454,162
25-1,33,2015,1,0,1,1,NA,54.8,13.4,4.3,1.6,0,0.65,0.1,263,92
26-1,34,2015,1,0,4,2,NA,95.1,13.9,3.6,2.3,0,0.45,0.5,225,24
28-1,35,2015,1,0,1,1,NA,52.7,12.8,2.6,2.8,0,0.35,0.15,346,152
29-1,36,2015,1,0,2,1,NA,73.9,10.3,3.6,1.6,0,0.7,0.25,61,268
30-1,37,2015,1,0,2,1,NA,70.9,26.5,2.4,1.7,0,0.55,0.2,216,192
32-1,38,2015,1,0,1,1,NA,97.7,24.8,4.2,1.6,0,0.75,0.1,54,0
34-1,39,2015,1,0,1,1,NA,113.5,21.1,7.0,3.1,0,0.5,0.1,290,0
35-1,40,2015,1,0,1,1,NA,44.1,8.6,2.3,1.5,0,0.65,0.15,0,141
36-1,41,2015,1,0,1,1,NA,125.0,33.2,4.3,2.9,0,0.2,0.2,263,0
68-1,42,2015,0,1,NA,4,NA,123.5,77.0,3.3,1.7,31,0.25,0.2,886,87
44-1,43,2015,0,1,NA,4,NA,68.4,20.9,3.8,1.4,1,0.3,0.45,253,9
43-1,44,2015,0,1,NA,7,NA,157.5,100.7,1.2,1.9,14,0.2,0.45,600,154
41-1,45,2015,0,1,NA,7,NA,84.8,29.9,5.8,2.1,2,0.65,0.15,179,29
42b-1,46,2015,0,1,NA,7,NA,137.7,51.8,3.3,1.9,44,0.4,0.2,823,39
42a-1,47,2015,0,1,NA,2,NA,94.8,37.8,3.3,2.3,22,0.25,0.55,632,81
72-1,48,2015,0,1,NA,NA,NA,68.0,38.2,4.1,3.7,35,0.45,0.35,478,24
73-1,49,2015,0,1,NA,NA,NA,57.5,36.4,5.7,3.0,3,0.1,0.3,610,20
48-1,50,2015,0,1,NA,8,NA,195.9,51.1,4.7,3.7,43,0.15,0.6,476,131
65-1,51,2015,0,1,NA,8,NA,134.2,42.2,2.4,1.1,33,0.5,0.4,920,41
71-1,52,2015,0,1,NA,1,NA,118.7,66.5,3.1,1.4,87,0.3,0.3,701,15
70-1,53,2015,0,1,NA,1,NA,114.0,82.2,4.2,1.8,67,0.15,0.5,472,74
55-1,54,2015,0,1,NA,2,NA,107.5,30.1,3.9,1.1,7,0.45,0.5,43,1211
51-1,55,2015,0,1,NA,6,NA,90.4,34.0,4.5,4.1,6,0.5,0.25,100,160
49-1,57,2015,0,1,NA,6,NA,95.0,43.5,5.4,2.1,25,0.3,0.65,480,36
49-2,58,2015,0,1,NA,6,NA,99.9,51.2,4.7,1.9,13,0.5,0.8,166,87
59-2,59,2015,0,1,NA,5,NA,186.8,112.1,6.4,5.3,63,0.4,0.55,305,103
59-1,60,2015,0,1,NA,5,NA,123.6,25.2,4.9,1.4,60,0.15,0.75,802,65
60-1,61,2015,0,1,NA,NA,NA,119.4,27.4,3.2,1.6,28,0.2,0.8,821,33
61-1,62,2015,0,1,NA,2,NA,142.8,54.5,4.9,2.1,8,0.1,0.8,1233,164
66b-1,63,2015,0,1,NA,NA,NA,182.1,37.6,5.5,2.3,2,0.25,0.7,690,6
66a-1,65,2015,0,1,NA,NA,NA,156.5,34.9,3.0,1.2,73,0.05,0.7,487,216
66a-2,65,2015,0,1,NA,NA,NA,97.8,52.1,2.3,1.5,33,0.4,0.25,248,108
50a-1,66,2015,0,1,NA,5,NA,197.7,68.7,4.3,1.5,69,0.1,0.75,545,88
74-1,68,2015,0,1,NA,NA,NA,153.8,45.4,2.3,2.5,34,0.1,0.5,1215,80
74-2,69,2015,0,1,NA,NA,NA,137.2,60.4,2.6,2.4,27,0.35,0.5,605,86
64b-1,70,2015,0,1,NA,5,NA,187.5,119.4,7.1,4.8,60,0.05,0.75,706,172
64a-1,71,2015,0,1,NA,NA,NA,181.4,93.7,3.9,1.4,64,0.1,0.6,455,165
63-1,72,2015,0,1,NA,NA,NA,261.3,216.4,7.4,4.0,72,0.1,0.75,310,97
62ab-1,73,2015,0,1,NA,2,NA,207.6,45.7,3.4,1.3,70,0.25,0.45,621,10
47e-1,74,2015,0,1,NA,7,NA,97.0,26.6,5.5,6.9,44,0.25,0.45,620,110
47d-1,75,2015,0,1,NA,8,NA,147.4,85.8,4.7,1.9,35,0.05,0.65,1039,182
47c-1,76,2015,0,1,NA,6,NA,136.0,31.5,4.3,4.3,24,0.02,0.8,1320,154
47a-1,77,2015,0,1,NA,2,NA,90.3,58.6,3.6,2.1,64,0.2,0.55,559,227
52-1,78,2015,0,1,NA,6,NA,105.0,35.2,5.3,8.1,46,0.35,0.45,535,132
52-2,79,2015,0,1,NA,6,NA,96.3,43.5,4.1,4.1,38,0.3,0.5,460,139
