Point,Habitat,ID,Year,AMGO,AMRO,BAOR,BARS,BAWW,BCCH,BGGN,BHCO,BLJA,BRTH,BWWA,CEDW,COGR,COYE,EABL,EAKI,EATO,FISP,GCFL,GRCA,HOWR,INBU,MODO,NOCA,NOFL,OROR,OVEN,PUMA,RBGR,RBWO,RWBL,SOSP,SWSP,TRES,TUTI,VEER,WAVI,WBNU,WEVI,WIFL,WITU,WOTH,YBCU,YEWA,YTVI,ACRU,APCA,ARVU,CARE,COAM,CORA,DICL,EUGR,GAMO,JUNC,LIST,LOMO,LYLI,LYSA,MACA,MIVI,MYPE,ONSE,PAQU,PHAR,POSI,PYVI,QUPA,ROMU,ROPA,RUBU,SCSC,SCCY,SOLI,SPLA,SPTO,TORA,VACC,VENO,VIDE,VILA,mowtime,GCVR.Grass,GCVR.Forb,GCVR.ShrubTree,GCVR.Litter,GCVR.Wood,GCVR.Moss,GCVR.Water,VegHgt.Avg,VegHgt.Stdv,LD.Avg,LD.Stdv,AvgCanopy,ShrubSTM,TreeSTM,Avg.TreeDist,Avg.TreeHgt,Avg.ShrubHgt,Avg.ShrubWdt,Avg.ShrubDist
6-2.,1,11,2015,0,0,0,0,0,0,1,5,0,0,2,0,0,6,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,0,1,0,1,0,1,0,1,0.15,0.45,0.3,0.1,0,0,0,67.3,17,4,3,0,865,370,3.4,1.4,0.9,0.9,5.7
6-3.,1,12,2015,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,2,4,0,0,0,1,0,1,0,0.3,0.55,0.05,0,0.1,0,91.3,26.5,2.4,3,0,1610,40,4.4,1.1,1.0,0.6,3.4
7-1.,1,13,2015,0,0,0,0,0,0,1,2,0,0,1,0,0,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,6,3,1,2,0,0,0,0,0,1,0,0,0,2,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,2,0.25,0.25,0.3,0.15,0,0.05,0,42.7,9.7,5,2.4,0,570,478,1.4,1.3,1.0,0.6,1.0
8-1.,1,14,2015,0,1,1,0,0,0,1,1,0,0,2,0,0,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,8,2,3,4,0,0,0,0,0,1,0,0,0,5,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,1,0,2,0,0,0,3,0,2,0.05,0.3,0.6,0.05,0,0,0,73.5,13.8,2.1,3.8,0,1077,256,2.0,0.9,1.1,0.9,1.2
8-2.,1,15,2015,1,2,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,1,5,2,5,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,1,0,0,2,0,0,2,0,0.55,0.2,0.2,0,0.05,0,73.1,14.1,5.8,2.6,0,566,40,2.5,1.0,0.9,0.6,1.8
8-3.,1,16,2015,10,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,5,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,2,0.05,0.55,0.3,0.1,0,0,0,51.2,11.7,4.1,2.9,0,629,31,2.6,1.0,0.6,0.5,1.5
9-1.,1,17,2015,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,4,1,0,1,0,0,1,1,0,0,0,0,0,0,5,5,0,2,1,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,1,0,0,0,1,0.1,0.35,0.25,0.05,0,0.25,0,63.1,25.1,3.9,3.4,0,1114,494,2.2,1.3,0.7,0.7,2.9
10-1.,1,18,2015,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8,3,0,6,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,6,0,0,0,0,1,2,0,1,0,0.55,0.45,0,0,0,0,64.8,12.6,3.2,1.5,0,1500,6,7.3,0.9,1.0,0.8,3.6
11-1.,1,19,2015,1,1,0,0,0,0,2,0,0,0,3,0,0,2,0,0,2,5,0,3,1,0,0,0,2,0,0,0,0,1,8,4,0,7,0,0,0,0,0,1,0,0,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,2,0.4,0.4,0.15,0.05,0,0,0,82.3,31.7,4.3,2.9,0,337,2,5.6,1.1,0.8,0.4,0.8
11-2.,1,20,2015,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,0,2,1,1,1,0,0,0,0,1,1,0,0,0,1,9,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,4,0,0,4,0,0,0,0,2,0.05,0.4,0.3,0.05,0,0,0.2,70.3,22.8,2.1,1.9,0,238,40,3.2,1.1,0.7,0.5,1.6
11-3.,1,21,2015,1,0,0,0,0,0,0,0,3,1,1,0,0,6,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,3,2,0,6,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,10,0,2,0,0,0,0,0,2,0,0.7,0.2,0.1,0,0,0,55.5,10.1,4,2.1,0,365,153,1.6,0.8,0.6,0.2,0.9
12-1.,1,22,2015,2,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,2,2,1,1,1,0,0,1,2,0,0,0,0,0,8,3,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,0,2,0,3,0,0,0,0,0,1,0,0.3,0.45,0.05,0,0.15,0.05,50.6,9.3,4.7,2.5,0,1281,204,3.3,0.8,0.6,0.4,2.3
12-2.,1,23,2015,2,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,3,2,0,0,1,0,0,0,1,1,0,0,0,1,7,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,2,0,0,0,0,0,1,0,0.4,0.25,0.15,0,0.15,0.05,55.2,31.3,4.9,1.8,0,1647,227,3.2,0.9,0.7,0.9,1.8
13-1.,1,24,2015,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,8,3,0,7,0,0,0,0,0,1,1,0,0,3,1,0,1,0,0,1,0,2,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0.15,0.65,0.1,0.1,0,0,0,51.9,14.4,3.3,2.7,0,379,23,8.1,1.0,0.9,0.5,1.8
14-1.,1,25,2015,2,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,3,0,1,0,0,1,2,0,0,0,0,0,2,10,1,0,4,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,2,0,0.35,0.45,0.1,0,0,0.1,63.2,16.7,3.3,1.1,0,2105,22,2.3,1.3,0.7,0.1,0.5
15-1.,1,26,2015,2,0,0,0,0,0,0,2,1,2,1,0,0,4,0,0,0,2,0,3,0,0,0,1,1,0,0,0,0,1,6,1,1,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0.35,0.15,0.2,0.05,0,0,0.2,102,39.2,4.3,8.3,20,119,7,6.7,1.7,0.9,0.4,4.8
16-1.,1,27,2015,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,1,10,2,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0.2,0.6,0.05,0.15,0,0,0,57.6,13.2,3.6,2.4,0,70,11,3.7,0.3,0.7,0.3,2.9
16-2.,1,28,2015,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,7,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0.1,0.8,0.05,0.05,0,0,0,108.1,24.5,4.6,2.4,0,97,85,1.6,0.2,1.1,0.8,2.6
22-1.,1,29,2015,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,1,0,0,0,4,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,8,0,0,0,0,0,0,0,1,0,0.65,0.3,0.05,0,0,0,81.9,34,1.1,0.6,0,422,159,2.5,0.8,0.6,0.3,2.7
23-1.,1,30,2015,0,1,1,0,0,0,1,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,3,4,3,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,10,0,0,0,0,0,0,0,2,0,0.55,0.4,0.05,0,0,0,113,19.9,3.2,1.6,0,356,77,2.9,1.4,1.1,0.6,2.5
23-2.,1,31,2015,0,0,1,0,0,0,3,0,0,0,0,0,1,5,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,3,4,6,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,1,2,0.1,0.45,0.3,0.1,0,0.05,0,61.3,15.1,3.5,2.6,0,266,43,4.4,1.4,0.8,0.5,2.1
24-1.,1,32,2015,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,11,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,1,1,0,0,0,0,1,0.15,0.45,0.15,0.15,0.05,0.05,0,50.5,16.2,3,1.5,0,454,162,1.9,0.6,0.6,0.4,1.5
25-1.,1,33,2015,4,2,2,0,0,0,0,0,0,0,2,0,7,3,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,4,0,3,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,9,0,0,0,0,0,0,0,1,0.15,0.65,0.1,0.2,0,0,0,54.8,13.4,4.3,1.6,0,263,92,2.7,0.8,0.6,0.2,2.3
26-1.,1,34,2015,3,3,0,0,1,0,0,3,0,0,3,0,0,6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,8,1,3,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,4,0,2,0,0,6,0,0,0,0,0,0,0,2,0.05,0.45,0.5,0,0,0,0,95.1,13.9,3.6,2.3,0,225,24,5.3,1.3,1.1,0.7,3.8
28-1.,1,35,2015,2,1,0,0,0,0,0,2,0,0,2,0,0,2,1,0,0,0,0,2,1,0,0,2,2,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,2,0,1,0,0,0,1,0.15,0.35,0.15,0.1,0,0.2,0.05,52.7,12.8,2.6,2.8,0,346,152,11.3,0.0,0.0,0.0,11.3
29-1.,1,36,2015,2,2,0,0,0,1,3,3,0,0,1,0,2,2,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,8,2,1,2,0,0,0,0,0,1,0,0,0,3,0,1,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0.7,0.25,0.05,0,0,0,73.9,10.3,3.6,1.6,0,61,268,1.5,0.7,0.6,0.3,2.2
30-1.,1,37,2015,0,2,0,0,0,0,0,0,0,0,1,0,7,3,2,0,2,0,0,2,0,0,1,0,0,0,0,0,1,2,17,2,1,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0.05,0.55,0.2,0.15,0,0,0.05,70.9,26.5,2.4,1.7,0,216,192,1.2,0.8,0.6,0.2,0.8
32-1.,1,38,2015,2,3,1,0,0,0,1,1,2,0,2,0,1,2,4,0,3,3,10,4,1,4,0,1,1,0,0,0,1,2,4,4,0,8,1,0,0,0,2,0,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.15,0.75,0.1,0,0,0,0,97.7,24.8,4.2,1.6,0,54,0,11.3,0.0,0.7,0.6,5.6
34-1.,1,39,2015,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,13,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0.35,0.5,0.1,0.05,0,0,0,113.5,21.1,7,3.1,0,290,0,11.3,0.0,0.6,0.3,0.7
35-1.,1,40,2015,2,1,0,0,0,0,1,0,0,0,2,0,0,2,1,0,3,3,0,1,1,0,0,1,0,0,0,0,0,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,1,0,0.65,0.15,0.15,0,0,0.05,44.1,8.6,2.3,1.5,0,0,141,5.3,2.3,0.0,0.0,11.3
36-1.,1,41,2015,0,2,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,1,6,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0.4,0.2,0.2,0.15,0,0,0.05,125,33.2,4.3,2.9,0,263,0,11.3,0.0,0.7,0.3,0.7
68-1.,2,42,2015,3,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,2,1,2,0,0,0,2,2,0,0,0,0,3,7,4,0,1,0,0,1,0,0,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,4,0.05,0.25,0.2,0.25,0.05,0,0.2,123.5,77,3.3,1.7,31,886,87,1.7,1.2,1.3,0.3,1.7
44-1.,2,43,2015,3,1,0,0,0,0,3,2,0,1,3,0,0,6,1,0,1,1,0,1,0,0,0,2,1,0,0,0,0,1,7,2,1,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,4,0.15,0.3,0.45,0.1,0,0,0,68.4,20.9,3.8,1.4,1,253,9,3.3,1.3,1.2,1.5,2.9
43-1.,2,44,2015,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,4,0,1,0,7,0,0.2,0.45,0.15,0,0.1,0,157.5,100.7,1.2,1.9,14,600,154,3.3,3.3,1.7,0.7,1.6
41-1.,2,45,2015,0,0,0,0,0,0,0,1,0,1,1,0,0,6,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,1,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,3,0,1,0,0,0,7,0,0.65,0.15,0.1,0,0.1,0,84.8,29.9,5.8,2.1,2,179,29,3.3,1.7,0.9,1.0,1.4
42b-1.,2,46,2015,0,0,0,0,0,0,0,1,0,0,2,2,0,4,0,0,3,0,2,4,0,0,0,1,0,0,0,0,1,0,2,3,0,0,1,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,6,0,0,0,0,0,0,1,7,0,0.4,0.2,0.25,0.05,0.05,0,137.7,51.8,3.3,1.9,44,823,39,3.8,2.4,1.1,0.4,0.9
42a-1.,2,47,2015,0,0,0,0,1,0,1,5,0,0,2,0,0,2,0,0,0,0,0,4,1,0,0,2,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,2,2,0,0.25,0.55,0.05,0,0,0,94.8,37.8,3.3,2.3,22,632,81,3.4,1.4,1.0,0.3,0.5
72-1.,2,48,2015,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,9,0,0,0,0,0,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,0,1,0,0,0,11,0,0.45,0.35,0.2,0,0,0,68,38.2,4.1,3.7,35,478,24,4.1,2.3,1.8,2.0,3.9
73-1.,2,49,2015,1,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,3,1,0,4,0,0,0,0,1,0,0,4,0,0,0,2,3,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,0,2,0,0,0,11,0.1,0.1,0.3,0.45,0.05,0,0,57.5,36.4,5.7,3,3,610,20,4.1,4.0,1.3,1.3,2.9
48-1.,2,50,2015,3,0,0,0,1,0,1,1,2,0,1,2,0,2,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,2,0,0,1,8,0,0.15,0.6,0.25,0,0,0,195.9,51.1,4.7,3.7,43,476,131,4.6,5.6,1.9,1.6,1.4
65-1.,2,51,2015,2,0,0,0,0,0,2,1,0,0,3,1,4,2,0,0,5,0,0,6,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,3,0,1,0,8,0,0.5,0.4,0.1,0,0,0,134.2,42.2,2.4,1.1,33,920,41,3.3,4.1,1.8,0.8,2.9
71-1.,2,52,2015,5,0,1,0,1,0,0,1,3,0,1,0,0,5,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,1,0.05,0.3,0.3,0.35,0,0,0,118.7,66.5,3.1,1.4,87,701,15,8.4,7.7,1.9,1.7,1.6
70-1.,2,53,2015,1,1,0,0,1,0,0,1,5,0,1,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,1,0.05,0.15,0.5,0.15,0,0.1,0.05,114,82.2,4.2,1.8,67,472,74,1.8,0.9,2.2,1.7,1.5
